Node	Protocol_Version	User_Agent	Connected_Since	Services	Height	Hostname	City	Country_Code	Latitude	Longitude	Timezone	ASN	Timestamp	Latest_Height	Total_Nodes	Organization
149.202.50.207:8333	70015	/Satoshi:0.18.0/	1568856040	1037	597043	207.ip-149-202-50.eu	null	FR	48.8582	2.3387	Europe/Paris	AS16276	1569709702	597043	9603	"OVH SAS"
91.38.206.195:8333	70015	/Satoshi:0.18.0/	1569634532	1037	597043	p5B26CEC3.dip0.t-ipconnect.de	Füssen	DE	47.5714	10.7017	Europe/Berlin	AS3320	1569709702	597043	9603	"Deutsche Telekom AG"
73.72.28.122:8333	70015	/Satoshi:0.18.0/	1568859482	1037	597020	c-73-72-28-122.hsd1.il.comcast.net	Oak Park	US	41.8907	-87.7908	America/Chicago	AS7922	1569709702	597043	9603	"Comcast Cable Communications, LLC"
34.194.208.92:8333	70015	/Satoshi:0.15.1/	1568856041	8	597007	ec2-34-194-208-92.compute-1.amazonaws.com	Ashburn	US	39.0481	-77.4728	America/New_York	AS14618	1569709702	597043	9603	"Amazon.com, Inc."
79.181.15.12:8433	70015	/Satoshi:0.18.1/	1569270231	1037	597043	bzq-79-181-15-12.red.bezeqint.net	Tel Aviv	IL	32.0678	34.7647	Asia/Jerusalem	AS8551	1569709702	597043	9603	"Bezeq International"
167.71.218.176:8333	70015	/Satoshi:0.13.2/	1569400033	13	597043	167.71.218.176	null	SG	1.314	103.6839	Asia/Singapore	AS14061	1569709702	597043	9603	"DigitalOcean, LLC"
161.117.8.237:8333	70015	/Satoshi:0.15.2/	1569511214	13	597043	161.117.8.237	Singapore	SG	1.2996	103.8549	Asia/Singapore	AS45102	1569709702	597043	9603	"Alibaba (US) Technology Co., Ltd."
185.141.60.127:8333	70015	/Satoshi:0.18.0/	1569703905	1036	597043	185.141.60.127	null	BG	42.7	23.3333	Europe/Sofia	AS44901	1569709702	597043	9603	"BelCloud Hosting Corporation"
144.76.71.116:33354	70015	/Satoshi:0.15.6.5/	1568856041	13	119071	multicoins.org	null	DE	51.2993	9.491	Europe/Berlin	AS24940	1569709702	597043	9603	"Hetzner Online GmbH"
90.203.20.62:8333	70015	/Satoshi:0.18.0/	1569659956	1037	597043	5acb143e.bb.sky.com	Glasgow	GB	55.8306	-4.2593	Europe/London	AS5607	1569709702	597043	9603	"Sky UK Limited"
144.134.42.20:8333	70015	/Satoshi:0.18.1/	1569662843	1037	597043	144.134.42.20	Dakabin	AU	-27.2333	152.9833	Australia/Brisbane	AS1221	1569709702	597043	9603	"Telstra Corporation Ltd"
[2001:41d0:1004:395b::]:8333	70015	/Satoshi:0.18.1/	1568856040	1036	597043	2001:41d0:1004:395b::	null	FR	46	2	Europe/Paris	AS16276	1569709702	597043	9603	"OVH SAS"
51.77.152.160:8333	70015	/Satoshi:0.18.0/	1568856041	1037	597043	ns3139143.ip-51-77-152.eu	null	FR	48.8582	2.3387	Europe/Paris	AS16276	1569709702	597043	9603	"OVH SAS"
95.213.145.52:8333	70015	/Satoshi:0.18.0/	1569487846	1037	597043	95.213.145.52	Moscow	RU	55.7527	37.6172	Europe/Moscow	AS49505	1569709702	597043	9603	"OOO Network of data-centers Selectel"
100.25.60.57:8333	70015	/Satoshi:0.14.99/	1568856041	12	597043	ec2-100-25-60-57.compute-1.amazonaws.com	Ashburn	US	39.0481	-77.4728	America/New_York	AS14618	1569709702	597043	9603	"Amazon.com, Inc."
136.34.203.180:8335	70015	/Satoshi:0.18.1/	1569699084	1037	597043	136.34.203.180	Kansas City	US	38.9592	-94.5961	America/Chicago	AS16591	1569709702	597043	9603	"Google Fiber Inc."
188.112.145.230:8333	70015	/Satoshi:0.18.0/	1569579378	1037	597038	r230-145-112-188-broadband.btv.lv	Riga	LV	56.9496	24.0978	Europe/Riga	AS20910	1569709702	597043	9603	"SIA Baltcom"
74.110.110.234:8333	70015	/Satoshi:0.18.0/	1569182998	1037	597043	pool-74-110-110-234.nrflva.fios.verizon.net	Chesapeake	US	36.7348	-76.2343	America/New_York	AS701	1569709702	597043	9603	"MCI Communications Services, Inc. d/b/a Verizon Business"
51.38.57.53:55859	70012	/Aurum:0.12.4/	1568856041	5	1170252	ns3121009.ip-51-38-57.eu	null	FR	48.8582	2.3387	Europe/Paris	AS16276	1569709702	597043	9603	"OVH SAS"
52.73.147.181:8333	70015	/Satoshi:0.16.1/	1568860212	1037	597043	ec2-52-73-147-181.compute-1.amazonaws.com	Ashburn	US	39.0481	-77.4728	America/New_York	AS14618	1569709702	597043	9603	"Amazon.com, Inc."
92.220.251.74:8333	70015	/Satoshi:0.17.1/	1568856161	1037	597023	74.92-220-251.customer.lyse.net	Stavanger	NO	58.9667	5.75	Europe/Oslo	AS29695	1569709702	597043	9603	"Altibox AS"
80.211.191.11:8333	70015	/Satoshi:0.18.0/	1568856041	1036	597043	host11-191-211-80.serverdedicati.aruba.it	Arezzo	IT	43.4631	11.8783	Europe/Rome	AS31034	1569709702	597043	9603	"Aruba S.p.A."
204.152.203.98:8333	70015	/Satoshi:0.17.1/	1569243824	1036	597043	asclepius.calisurfandfun.com	Los Angeles	US	34.0549	-118.2578	America/Los_Angeles	AS8100	1569709702	597043	9603	"QuadraNet Enterprises LLC"
193.106.28.8:8333	70015	/Satoshi:0.18.1/	1569575220	1037	597043	193.106.28.8	null	UA	50.45	30.5233	Europe/Kiev	AS50297	1569709702	597043	9603	"Infium, UAB"
95.216.12.243:8333	70015	/Satoshi:0.15.0(bitcore)/	1568856041	13	597043	static.243.12.216.95.clients.your-server.de	null	FI	60.1708	24.9375	Europe/Helsinki	AS24940	1569709702	597043	9603	"Hetzner Online GmbH"
208.167.255.165:8333	70015	/Satoshi:0.18.0/	1569527202	1036	597043	208.167.255.165.vultr.com	Piscataway	US	40.5511	-74.4606	America/New_York	AS20473	1569709702	597043	9603	"Choopa, LLC"
47.74.248.83:8333	70015	/Satoshi:0.18.0/	1568856041	1037	597043	47.74.248.83	Singapore	SG	1.2996	103.8549	Asia/Singapore	AS45102	1569709702	597043	9603	"Alibaba (US) Technology Co., Ltd."
116.203.81.191:8333	70015	/Satoshi:0.18.0/	1568856040	1037	597043	static.191.81.203.116.clients.your-server.de	null	DE	51.2993	9.491	Europe/Berlin	AS24940	1569709702	597043	9603	"Hetzner Online GmbH"
34.216.162.155:8333	70015	/Satoshi:0.17.1/	1569708716	1037	597043	ec2-34-216-162-155.us-west-2.compute.amazonaws.com	Boardman	US	45.8491	-119.7143	America/Los_Angeles	AS16509	1569709702	597043	9603	"Amazon.com, Inc."
47.88.84.125:8333	70015	/Satoshi:0.18.0/	1568856041	1036	597043	47.88.84.125	Sunnyvale	US	37.3773	-122.0194	America/Los_Angeles	AS45102	1569709702	597043	9603	"Alibaba (US) Technology Co., Ltd."
34.85.9.127:8333	70015	/Bitcoin ABC:0.15.1(EB8.0)/	1568856041	37	592792	127.9.85.34.bc.googleusercontent.com	null	US	37.751	-97.822	America/Chicago	AS15169	1569709702	597043	9603	"Google LLC"
82.64.60.174:8333	70015	/Satoshi:0.18.1/	1569606950	1037	597038	82-64-60-174.subs.proxad.net	Carrieres-sous-Poissy	FR	48.9495	2.0407	Europe/Paris	AS12322	1569709702	597043	9603	"Free SAS"
77.161.203.90:8333	70015	/Satoshi:0.18.1/	1569709678	1037	597043	ip4da1cb5a.direct-adsl.nl	Amsterdam	NL	52.3742	4.8218	Europe/Amsterdam	AS1136	1569709702	597043	9603	"KPN B.V."
111.90.140.80:8333	70015	/Satoshi:0.17.0/	1569482009	1037	597043	mail.dbdcm.org	null	MY	2.5	112.5	Asia/Kuching	AS45839	1569709702	597043	9603	"Shinjiru Technology Sdn Bhd"
62.178.105.15:8333	70015	/Satoshi:0.18.0/	1569505494	1037	597043	62-178-105-15.cable.dynamic.surfer.at	Vienna	AT	48.1982	16.3917	Europe/Vienna	AS6830	1569709702	597043	9603	"Liberty Global B.V."
91.194.90.89:8333	70015	/Satoshi:0.17.1/	1569659236	1037	597043	vmi239513.contaboserver.net	Munich	DE	48.1089	11.6074	Europe/Berlin	AS51167	1569709702	597043	9603	"Contabo GmbH"
85.6.195.146:8333	70015	/Satoshi:0.18.1/	1569662827	1037	597043	146.195.6.85.dynamic.wline.res.cust.swisscom.ch	Basel	CH	47.5584	7.5733	Europe/Zurich	AS3303	1569709702	597043	9603	"Bluewin"
172.105.96.246:8333	70015	/Satoshi:0.18.0/	1569598060	1036	0	li1995-246.members.linode.com	Toronto	CA	43.6547	-79.3623	America/Toronto	AS63949	1569709702	597043	9603	"Linode, LLC"
89.154.95.56:8333	70015	/Satoshi:0.17.1/	1568856041	1037	597043	a89-154-95-56.cpe.netcabo.pt	Guimarães	PT	41.4444	-8.2962	Europe/Lisbon	AS2860	1569709702	597043	9603	"Nos Comunicacoes, S.A."
47.254.73.32:8333	70015	/Satoshi:0.18.0/	1568856041	1036	597043	47.254.73.32	Portland	US	45.5245	-122.6692	America/Los_Angeles	AS45102	1569709702	597043	9603	"Alibaba (US) Technology Co., Ltd."
95.179.237.206:8333	70015	/Satoshi:0.18.0/	1569609325	1036	597043	95.179.237.206.vultr.com	London	GB	51.5128	-0.0638	Europe/London	AS20473	1569709702	597043	9603	"Choopa, LLC"
195.201.174.146:8333	70015	/Satoshi:0.16.3/	1568856041	1036	597043	alpha5.fsn.sigmapool.com	null	DE	51.2993	9.491	Europe/Berlin	AS24940	1569709702	597043	9603	"Hetzner Online GmbH"
75.157.77.34:8333	70015	/Satoshi:0.18.0/	1569504790	1037	597043	d75-157-77-34.bchsia.telus.net	Surrey	CA	49.1049	-122.824	America/Vancouver	AS852	1569709702	597043	9603	"TELUS Communications Inc."
35.198.208.19:8333	70015	/Satoshi:0.16.0(bitcore)/	1568856161	1037	597043	19.208.198.35.bc.googleusercontent.com	null	null	35	105	Australia/Perth	AS15169	1569709702	597043	9603	"Google LLC"
93.220.46.134:8333	70015	/Satoshi:0.17.0.1/	1569698124	1037	597043	p5DDC2E86.dip0.t-ipconnect.de	Giessen	DE	50.5873	8.6755	Europe/Berlin	AS3320	1569709702	597043	9603	"Deutsche Telekom AG"
5.102.147.55:8333	70015	/Satoshi:0.18.0/	1569520521	1037	597043	5-102-147-55.cust.cloudscale.ch	Seuzach Dorf	CH	47.5356	8.7321	Europe/Zurich	AS59414	1569709702	597043	9603	"cloudscale.ch AG"
73.225.205.199:8333	70015	/Satoshi:0.18.0/	1569023982	1037	597043	c-73-225-205-199.hsd1.wa.comcast.net	Olympia	US	47.1042	-122.87	America/Los_Angeles	AS7922	1569709702	597043	9603	"Comcast Cable Communications, LLC"
159.203.183.20:8333	70015	/Satoshi:0.18.0/	1569702935	1037	597043	159.203.183.20	North Bergen	US	40.793	-74.0247	America/New_York	AS14061	1569709702	597043	9603	"DigitalOcean, LLC"
206.189.103.187:8333	70015	/Satoshi:0.18.0/	1569048568	1037	0	206.189.103.187	Amsterdam	NL	52.352	4.9392	Europe/Amsterdam	AS14061	1569709702	597043	9603	"DigitalOcean, LLC"
5.9.147.147:8333	70015	/Satoshi:0.17.0.1/	1568856041	1037	597043	static.147.147.9.5.clients.your-server.de	null	DE	51.2993	9.491	Europe/Berlin	AS24940	1569709702	597043	9603	"Hetzner Online GmbH"
185.19.29.110:8333	70015	/Satoshi:0.17.1/	1568865516	1037	597043	xc-btc-000.gva2.closermoon.net	null	CH	47.1449	8.1551	Europe/Zurich	AS61098	1569709702	597043	9603	"Akenes SA"
18.218.226.80:8333	70015	/Satoshi:0.14.99/	1569616026	12	597035	ec2-18-218-226-80.us-east-2.compute.amazonaws.com	Columbus	US	39.9653	-83.0235	America/New_York	AS16509	1569709702	597043	9603	"Amazon.com, Inc."
76.88.107.25:8333	70015	/Satoshi:0.17.1/	1568856041	1037	597043	cpe-76-88-107-25.san.res.rr.com	San Diego	US	32.8246	-117.1971	America/Los_Angeles	AS20001	1569709702	597043	9603	"Charter Communications Inc"
50.68.197.109:8333	70015	/Satoshi:0.17.1/	1569525520	1036	597043	S0106a0369f3f104e.vn.shawcable.net	North Vancouver	CA	49.3597	-123.0377	America/Vancouver	AS6327	1569709702	597043	9603	"Shaw Communications Inc."
213.254.23.116:8333	70015	/Satoshi:0.18.0/	1569449928	1037	0	213.254.23.116	Aosta	IT	45.7376	7.3172	Europe/Rome	AS12779	1569709702	597043	9603	"IT.Gate S.p.A."
[2607:5300:120:b7e::]:8333	70015	/Satoshi:0.15.1/	1568860662	13	597043	2607:5300:120:b7e::	null	CA	60	-95	America/Winnipeg	AS16276	1569709702	597043	9603	"OVH SAS"
18.205.209.222:8333	70015	/Satoshi:0.16.0/	1568865796	1037	597043	ec2-18-205-209-222.compute-1.amazonaws.com	Ashburn	US	39.0481	-77.4728	America/New_York	AS14618	1569709702	597043	9603	"Amazon.com, Inc."
103.224.118.79:8333	70015	/Satoshi:0.18.0/	1569706546	1037	597043	79-118-224-103.myrepublic.com.sg	Singapore	SG	1.3155	103.9233	Asia/Singapore	AS56300	1569709702	597043	9603	"MyRepublic Ltd."
60.38.143.3:8333	70015	/Satoshi:0.18.0/	1569517000	1037	0	p1743003-ipngn200612fukuokachu.fukuoka.ocn.ne.jp	Fukuoka	JP	33.604	130.4142	Asia/Tokyo	AS4713	1569709702	597043	9603	"NTT Communications Corporation"
213.174.156.72:8333	70015	/Satoshi:0.18.0/	1569659236	1037	597043	213.174.156.72	Ashburn	US	39.018	-77.539	America/New_York	AS39572	1569709702	597043	9603	"DataWeb Global Group B.V."
188.155.40.147:8333	70015	/Satoshi:0.18.1/	1568856041	1037	597043	xdsl-188-155-40-147.adslplus.ch	Lausanne	CH	46.5182	6.6329	Europe/Zurich	AS6730	1569709702	597043	9603	"Sunrise Communications AG"
157.245.179.7:8333	70015	/Satoshi:0.18.0/	1568856041	1036	597043	157.245.179.7	null	US	37.751	-97.822	America/Chicago	null	1569709702	597043	9603	null
pguebmv7eglbltws.onion:8333	70015	/Satoshi:0.17.1/	1569627816	1037	0	null	null	null	0	0	null	TOR	1569709702	597043	9603	"Tor network"
81.102.192.243:8333	70015	/Satoshi:0.18.0/	1568873196	1037	597043	cpc104712-belf11-2-0-cust242.2-1.cable.virginm.net	Belfast	GB	54.5833	-5.9333	Europe/London	AS5089	1569709702	597043	9603	"Virgin Media Limited"
83.162.151.227:8333	70015	/Satoshi:0.18.0/	1569617710	1037	597043	jorrian.synology.me	Amsterdam	NL	52.3231	4.9722	Europe/Amsterdam	AS3265	1569709702	597043	9603	"Xs4all Internet BV"
173.249.46.22:8333	70015	/Satoshi:0.18.0/	1568856041	1037	597043	vmi201658.contaboserver.net	Nuremberg	DE	49.405	11.1617	Europe/Berlin	AS51167	1569709702	597043	9603	"Contabo GmbH"
68.183.23.190:8333	70015	/Satoshi:0.17.0/	1568856041	1036	597043	68.183.23.190	North Bergen	US	40.793	-74.0247	America/New_York	AS14061	1569709702	597043	9603	"DigitalOcean, LLC"
5.135.160.228:8333	70015	/Satoshi:0.15.1/	1568856041	13	597043	ns301095.ip-5-135-160.eu	null	FR	48.8582	2.3387	Europe/Paris	AS16276	1569709702	597043	9603	"OVH SAS"
92.43.252.146:8333	70015	/Satoshi:0.17.1/	1569659236	1037	597043	paradsync001.experts-comptables.org	null	FR	48.8582	2.3387	Europe/Paris	AS16128	1569709702	597043	9603	"AGARIK SA"
176.9.48.21:8333	70015	/Satoshi:0.18.0/	1568856041	1037	597043	mail.east-fin.com	null	DE	51.2993	9.491	Europe/Berlin	AS24940	1569709702	597043	9603	"Hetzner Online GmbH"
193.43.92.40:8333	70015	/Satoshi:0.16.0/	1568857079	1037	597043	hosted-by.cyberserv.nl	null	NL	52.3824	4.8995	Europe/Amsterdam	AS60781	1569709702	597043	9603	"LeaseWeb Netherlands B.V."
54.211.137.101:8333	70015	/Satoshi:0.14.0/	1569704147	13	597043	ec2-54-211-137-101.compute-1.amazonaws.com	Ashburn	US	39.0481	-77.4728	America/New_York	AS14618	1569709702	597043	9603	"Amazon.com, Inc."
67.189.190.167:8333	70015	/Satoshi:0.16.1/	1569518354	1037	597043	c-67-189-190-167.hsd1.ny.comcast.net	Brewster	US	41.4097	-73.5992	America/New_York	AS7922	1569709702	597043	9603	"Comcast Cable Communications, LLC"
15.164.169.200:8333	70015	/Satoshi:0.18.0/	1568857549	1037	597043	ec2-15-164-169-200.ap-northeast-2.compute.amazonaws.com	Incheon	KR	37.4562	126.7288	Asia/Seoul	AS16509	1569709702	597043	9603	"Amazon.com, Inc."
52.194.225.93:8333	70015	/Satoshi:0.18.0/	1568856041	1037	597043	ec2-52-194-225-93.ap-northeast-1.compute.amazonaws.com	Tokyo	JP	35.6882	139.7532	Asia/Tokyo	AS16509	1569709702	597043	9603	"Amazon.com, Inc."
208.81.1.105:8333	70015	/Satoshi:0.18.1/	1569659236	1036	597043	host-208-81-1-105.les.net	Winnipeg	CA	49.867	-97.1356	America/Winnipeg	AS18451	1569709702	597043	9603	"LES.NET"
209.190.36.13:8333	70015	/Satoshi:0.15.1/	1569145841	12	0	209-190-36-13.xlhdns.com	Columbus	US	40.081	-82.9383	America/New_York	AS10297	1569709702	597043	9603	"eNET Inc."
146.90.80.86:8333	70015	/Satoshi:0.18.1/	1569611245	1037	597043	86.80.90.146.dyn.plus.net	Didcot	GB	51.5694	-1.1986	Europe/London	AS6871	1569709702	597043	9603	"British Telecommunications PLC"
51.15.179.106:8333	70015	/Satoshi:0.18.0/	1568859040	1037	597042	51-15-179-106.rev.poneytelecom.eu	null	FR	48.8582	2.3387	Europe/Paris	AS12876	1569709702	597043	9603	"Online S.a.s."
5.9.82.162:8333	70015	/Satoshi:0.15.0.1/	1568856041	13	597043	static.162.82.9.5.clients.your-server.de	null	DE	51.2993	9.491	Europe/Berlin	AS24940	1569709702	597043	9603	"Hetzner Online GmbH"
192.222.147.209:8333	70015	/Satoshi:0.18.0/	1569613146	1037	597043	192-222-147-209.qc.cable.ebox.net	Montreal	CA	45.5242	-73.593	America/Toronto	AS1403	1569709702	597043	9603	"EBOX"
39.106.249.60:8333	70015	/Satoshi:0.17.0/	1569546886	1037	597043	39.106.249.60	Hangzhou	CN	30.294	120.1619	Asia/Shanghai	AS37963	1569709702	597043	9603	"Hangzhou Alibaba Advertising Co.,Ltd."
142.93.137.204:8333	70015	/Satoshi:0.18.0/	1568856041	1036	597043	142.93.137.204	Amsterdam	NL	52.352	4.9392	Europe/Amsterdam	AS14061	1569709702	597043	9603	"DigitalOcean, LLC"
37.187.103.54:8333	70015	/Satoshi:0.17.1/	1568860432	1037	597043	154.gra.abcvg.ovh	null	FR	48.8582	2.3387	Europe/Paris	AS16276	1569709702	597043	9603	"OVH SAS"
213.152.106.56:8333	70015	/Satoshi:0.18.1/	1569700525	1037	395221	cust-213-152-106-56.pools.tk-bodensee.net	Konstanz	DE	47.6723	9.1834	Europe/Berlin	AS57154	1569709702	597043	9603	"Stadtwerke Konstanz GmbH"
211.32.117.99:8333	70015	/Satoshi:0.15.0.1/	1569251033	13	597043	211.32.117.99	null	KR	37.5112	126.9741	Asia/Seoul	AS3786	1569709702	597043	9603	"LG DACOM Corporation"
67.253.72.119:8333	70015	/Satoshi:0.18.0/	1568856041	1037	597043	cpe-67-253-72-119.maine.res.rr.com	Yarmouth	US	43.8009	-70.175	America/New_York	AS11351	1569709702	597043	9603	"Charter Communications Inc"
85.10.192.158:8333	70015	/Satoshi:0.15.0.1/	1568856041	13	597043	static.85-10-192-158.clients.your-server.de	Munich	DE	48.1497	11.585	Europe/Berlin	AS24940	1569709702	597043	9603	"Hetzner Online GmbH"
[2a01:4f8:200:53e3::2]:8333	70002	/Satoshi:0.11.0/	1569219978	1	597043	2a01:4f8:200:53e3::2	null	DE	51.2993	9.491	Europe/Berlin	AS24940	1569709702	597043	9603	"Hetzner Online GmbH"
72.5.72.15:8333	70015	/Satoshi:0.18.0/	1569549761	1037	597043	mirror1.sjc02.svwh.net	San Jose	US	37.3008	-121.9777	America/Los_Angeles	AS394738	1569709702	597043	9603	"Denetron LLC"
116.203.29.242:8333	70015	/Satoshi:0.18.0/	1568856041	1037	597043	static.242.29.203.116.clients.your-server.de	null	DE	51.2993	9.491	Europe/Berlin	AS24940	1569709702	597043	9603	"Hetzner Online GmbH"
ztzvfunqdbiwkro5.onion:8333	70015	/Satoshi:0.18.0/	1569601671	1037	0	null	null	null	0	0	null	TOR	1569709702	597043	9603	"Tor network"
188.68.40.28:8333	70015	/Satoshi:0.17.1/	1568856041	1037	597043	v22018035996963476.bestsrv.de	null	DE	51.2993	9.491	Europe/Berlin	AS197540	1569709702	597043	9603	"netcup GmbH"
[2001:41d0:8:ddb::1]:8333	70015	/Satoshi:0.18.1/	1569220699	1037	597043	2001:41d0:8:ddb::1	null	FR	46	2	Europe/Paris	AS16276	1569709702	597043	9603	"OVH SAS"
47.252.85.246:8333	70015	/Satoshi:0.18.0/	1568856041	1036	597043	47.252.85.246	San Mateo	US	37.5517	-122.33	America/Los_Angeles	AS45102	1569709702	597043	9603	"Alibaba (US) Technology Co., Ltd."
58.34.216.45:8333	70015	/Satoshi:0.15.0.1/	1569514135	13	597043	45.216.34.58.broad.xw.sh.dynamic.163data.com.cn	Shanghai	CN	31.0449	121.4012	Asia/Shanghai	AS4812	1569709702	597043	9603	"China Telecom (Group)"
